Date,Region,BoxOffice
2019-07-26,East China,8088.9
2019-07-26,Southern China,3126.8
2019-07-26,Southwest China,2717.1
2019-07-26,Central China,2478.9
2019-07-26,North China,2418.3
2019-07-26,Northeastern China,979.3
2019-07-26,Northwestern China,863.3
2019-07-27,East China,9234.7
2019-07-27,Southern China,3670.1
2019-07-27,Southwest China,2990.4
2019-07-27,Central China,2801.7
2019-07-27,North China,2561.3
2019-07-27,Northeastern China,1028.4
2019-07-27,Northwestern China,926.9
2019-07-28,East China,11800.0
2019-07-28,Southern China,4763.7
2019-07-28,Southwest China,3485.0
2019-07-28,Central China,3200.4
2019-07-28,North China,3177.8
2019-07-28,Northeastern China,1243.6
2019-07-28,Northwestern China,1094.0
2019-07-29,East China,7593.0
2019-07-29,Southern China,2816.4
2019-07-29,Southwest China,2458.3
2019-07-29,Central China,2270.0
2019-07-29,North China,2017.6
2019-07-29,Northeastern China,904.1
2019-07-29,Northwestern China,864.4
2019-07-30,East China,7536.9
2019-07-30,Southern China,2898.5
2019-07-30,Southwest China,2524.0
2019-07-30,Central China,2382.3
2019-07-30,North China,2235.8
2019-07-30,Northeastern China,1039.7
2019-07-30,Northwestern China,858.0
2019-07-31,East China,7664.2
2019-07-31,Southern China,2745.2
2019-07-31,Southwest China,2605.6
2019-07-31,Central China,2423.6
2019-07-31,North China,2335.0
2019-07-31,Northeastern China,1089.7
2019-07-31,Northwestern China,861.5
2019-08-01,East China,6929.1
2019-08-01,Southern China,2486.7
2019-08-01,Southwest China,2348.5
2019-08-01,Central China,2199.2
2019-08-01,North China,2065.3
2019-08-01,Northeastern China,1007.4
2019-08-01,Northwestern China,824.4
2019-08-02,East China,7649.2
2019-08-02,Southern China,3153.4
2019-08-02,Southwest China,2584.8
2019-08-02,Central China,2569.9
2019-08-02,North China,2400.9
2019-08-02,Northeastern China,1037.3
2019-08-02,Northwestern China,904.2
2019-08-03,East China,13100.0
2019-08-03,Southern China,5689.3
2019-08-03,Southwest China,4783.4
2019-08-03,Central China,3793.7
2019-08-03,North China,3572.3
2019-08-03,Northeastern China,1638.5
2019-08-03,Northwestern China,1426.0
2019-08-04,East China,13500.0
2019-08-04,Southern China,6032.0
2019-08-04,Southwest China,4424.4
2019-08-04,Central China,3617.8
2019-08-04,North China,3572.4
2019-08-04,Northeastern China,1680.1
2019-08-04,Northwestern China,1352.1
2019-08-05,East China,6236.6
2019-08-05,Southern China,2508.3
2019-08-05,Southwest China,2189.7
2019-08-05,Central China,2060.2
2019-08-05,North China,2023.8
2019-08-05,Northeastern China,990.6
2019-08-05,Northwestern China,761.3
2019-08-06,East China,5631.4
2019-08-06,Southern China,2234.8
2019-08-06,Southwest China,2136.5
2019-08-06,Central China,1959.0
2019-08-06,North China,1834.1
2019-08-06,Northeastern China,954.9
2019-08-06,Northwestern China,751.3
2019-08-07,East China,8884.6
2019-08-07,Southern China,3493.6
2019-08-07,Southwest China,3489.7
2019-08-07,Central China,3354.8
2019-08-07,North China,3234.8
2019-08-07,Northeastern China,1566.8
2019-08-07,Northwestern China,1223.7
2019-08-08,East China,4302.3
2019-08-08,Southern China,1760.0
